id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,id_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,id_pl,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_cf,operating_activity,investing_activity,financing_activity,net_cash_flow,id_bs,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_y,broad_sector,sub_sector,index_weight_pct,market_cap_category,id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,revenue_cagr,pat_cagr,free_cash_flow_cagr,cfo_pat_ratio,composite_score,rank
579,IRCTC,2023,28.41,36.04,40.6,0.03,89.0,0.7,495.0,317.0,13.0,44.0,44.0,84.0,812.0,305.0,1359334.39,1302404.03,22.05,11.74,14.17,2.02,744,3541.0,2265.0,1276.0,36.0,148.0,16.0,54.0,1354.0,26.0,1006.0,13.0,44.0,689.0,812.0,-317.0,-434.0,61.0,816,160.0,2318.0,84.0,2526.0,5089.0,351.0,34.0,0.0,4704.0,5089.0,51,Consumer Discretionary,Travel & Tourism,3.97,Mid Cap,IRCTC,https://mkt.in/static/mkt-icons/nifty100/IRCTC.png,Indian Railway Catering & Tourism Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRCTC,"Incorporated in 1999, IRCTC is a Mini Ratna (Category 1, Central Public Sector Enterprises ) and the only company authorized by the Indian government to provide online railway tickets, catering services, and packaged drinking water
at railway stations and trains in India",http://www.irctc.com/,https://www.nseindia.com/get-quotes/equity?symbol=IRCTC,https://www.bseindia.com/stock-share-price/indian-railway-catering-tourism-corporation-ltd/IRCTC/542830/,2.0,44.0,53.8,40.4,16.75656887152892,26.81198686210522,45.37464474156747,0.8071570576540755,89.38392745782409,1
10,ABB,2022,16.26,22.02,28.33,0.05,61.32,1.16,552.0,396.0,376.0,1657.0,73.0,152.0,948.0,4.0,1185994.82,1158637.42,18.68,4.75,6.12,3.35,70,4913.0,3832.0,1082.0,22.0,83.0,19.0,66.0,1080.0,26.0,799.0,376.0,73.0,81.0,4097.0,-3936.0,-235.0,-75.0,145,21.0,2799.0,152.0,1253.0,4224.0,271.0,1.0,0.0,3952.0,4224.0,1,Industrials,Capital Goods,0.81,Large Cap,ABB,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,12.1738707400457,21.191023990902647,30.677501093386518,5.127659574468085,79.84691436811538,2
415,HAL,2023,21.58,24.77,3283.05,0.27,130.33,99.37,3102.0,5734.0,87.0,465.0,32.0,47.0,8836.0,215.0,2122373.86,2704291.55,11.8,2.43,27.48,3.62,539,26928.0,20258.0,6669.0,25.0,1672.0,64.0,1784.0,6493.0,10.0,5811.0,87.0,32.0,512.0,8836.0,-5734.0,-1731.0,1370.0,614,5.0,172.0,47.0,47.0,271.0,57.0,23.0,35.0,156.0,271.0,36,Industrials,Defence & Aerospace,1.6,Large Cap,HAL,https://mkt.in/static/mkt-icons/nifty100/HAL.png,Hindustan Aeronautics Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Hindustan Aeronautics is engaged in the business of Manufacture of Aircraft and Helicopters and Repair, Maintenance of Aircraft and Helicopters",https://hal-india.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=HAL,https://www.bseindia.com/stock-share-price/hindustan-aeronautics-ltd/HAL/541154/,5.0,465.0,38.9,28.9,7.720282781323262,18.165728505247316,,1.5205644467389434,69.82324886224146,3
982,TCS,2023,18.76,26.28,46.78,0.09,80.5,1.58,41417.0,548.0,115.0,281.0,100.0,7688.0,41965.0,521.0,405916.42,410957.48,8.74,13.8,29.01,3.1,1195,225458.0,166199.0,59259.0,26.0,3449.0,779.0,5022.0,56907.0,26.0,42303.0,115.0,100.0,1108.0,41965.0,548.0,-47878.0,-5365.0,1424,366.0,90058.0,7688.0,44747.0,142859.0,20515.0,1234.0,37163.0,83947.0,142859.0,87,Information Technology,IT Services,1.1,Large Cap,TCS,https://images.5paisa.com/MarketIcons/TCS.png,Tata Consultancy Services Ltd,https://www.tradingview.com/chart/?symbol=NSE%3ATCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions.",https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,64.3,0.52,12.969173527526845,11.387761678665665,19.12910655392772,0.9920100229298159,69.29641485065808,4
693,LTIM,2021,15.67,22.03,26.53,0.11,37.96,1.16,743.0,1657.0,111.0,711.0,36.0,798.0,2400.0,369.0,1325692.27,1604670.91,30.49,14.47,39.4,3.0,869,12370.0,9645.0,2725.0,22.0,274.0,79.0,332.0,2588.0,25.0,1938.0,111.0,36.0,806.0,2400.0,-1657.0,-509.0,234.0,957,18.0,7286.0,798.0,2604.0,10706.0,1906.0,66.0,3730.0,5004.0,10706.0,62,Information Technology,IT Services,2.64,Large Cap,LTIM,,LTIMindtree Ltd,https://mkt.in/static/mkt-icons/nifty100/ABB.png,"LTIMindtree Limited is an Indian multinational information technology services and consulting company based in Mumbai. A subsidiary of Larsen & Toubro, the company was incorporated in 1996 and employs more than 81,000 people",https://www.ltimindtree.com/,https://www.nseindia.com/get-quotes/equity?symbol=LTIM,https://www.bseindia.com/stock-share-price/ltimindtree-ltd/ltim/540005/,1.0,711.0,34.1,26.04,22.38122500495996,21.02441783355038,14.796205839600551,1.238390092879257,68.31977293262601,5
246,BRITANNIA,2019,10.45,15.67,27.16,0.04,215.33,1.77,304.0,852.0,48.0,133.0,31.0,156.0,1156.0,127.0,193703.11,184529.76,39.95,9.67,24.41,4.4,353,11055.0,9322.0,1732.0,16.0,206.0,9.0,162.0,1768.0,35.0,1155.0,48.0,31.0,344.0,1156.0,-852.0,-353.0,-49.0,432,24.0,4229.0,156.0,1829.0,6238.0,1688.0,101.0,1476.0,2972.0,6238.0,22,Consumer Staples,Food Products,0.66,Large Cap,BRITANNIA,https://mkt.in/static/mkt-icons/nifty100/BRITANNIA.png,Britannia Industries Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Britannia Industries is one of Indias leading food companies with a 100 year legacy and annual revenues in excess of Rs. 9000 Cr. Britannia is among the most trusted food brands, and manufactures Indias favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India. Britannias product portfolio includes Biscuits, Bread, Cakes, Rusk, and Dairy products including Cheese, Beverages, Milk and Yoghurt.",https://www.britannia.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BRITANNIA,https://www.bseindia.com/stock-share-price/britannia-industries-ltd/BRITANNIA/500825/,1.0,133.0,48.9,57.1,9.49111037408743,21.090760318638814,19.624172867078293,1.000865800865801,67.38320319904784,6
371,EICHERMOT,2024,24.2,26.18,22.17,0.02,114.71,0.72,890.0,2834.0,146.0,693.0,35.0,419.0,3724.0,192.0,222391.83,234358.89,15.62,13.61,19.29,4.41,488,16536.0,12206.0,4329.0,26.0,1521.0,51.0,598.0,5202.0,23.0,4001.0,146.0,35.0,469.0,3724.0,-2834.0,-844.0,45.0,567,27.0,18952.0,404.0,4997.0,24380.0,3490.0,230.0,14693.0,5968.0,24380.0,32,Consumer Discretionary,Two Wheelers,3.13,Large Cap,EICHERMOT,https://mkt.in/static/mkt-icons/nifty100/EICHERMOT.png,Eicher Motors Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Eicher Motors Limited, incorporated in 1982, is the listed company of the Eicher Group in India and a leading player in the Indian automobile industry and the global leader in middleweight motorcycles.
Eicher has a joint venture with Sweden's AB Volvo to create Volvo Eicher Commercial Vehicles Limited (VECV). VECV is engaged in truck and bus operations, auto components business, and technical",https://www.eicher.in/,https://www.nseindia.com/get-quotes/equity?symbol=EICHERMOT,https://www.bseindia.com/stock-share-price/eicher-motors-ltd/EICHERMOT/505200/,1.0,693.0,31.1,24.2,9.02825344217768,21.3763534266848,,0.9307673081729567,63.410146596695505,7
438,HCLTECH,2023,14.63,22.3,22.7,0.07,67.95,1.09,14436.0,3573.0,55.0,254.0,88.0,4794.0,18009.0,227.0,385586.15,451405.41,9.19,2.28,10.69,3.4,565,101456.0,78828.0,22628.0,22.0,1358.0,353.0,4145.0,19488.0,24.0,14845.0,55.0,88.0,536.0,18009.0,-3573.0,-15881.0,-1445.0,640,543.0,64862.0,4794.0,23051.0,93250.0,34619.0,40.0,5495.0,53096.0,93250.0,38,Information Technology,IT Services,2.5,Large Cap,HCLTECH,https://mkt.in/static/mkt-icons/nifty100/HCLTECH.png,HCL Technologies Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"HCL Tech is a leading global IT services company, which is ranked amongst the top five Indian IT services companies in terms of revenues. Since its inception into the global landscape after its IPO in 1999, HCL Tech has focused on transformational outsourcing, and offers an integrated portfolio of services including software-led IT solutions, remote infrastructure management, engineering and R&D services and BPO. The company leverages its extensive global offshore infrastructure and network of offices in 46",https://www.hcltech.com/,https://www.nseindia.com/get-quotes/equity?symbol=HCLTECH,https://www.bseindia.com/stock-share-price/hcl-technologies-ltd/HCLTECH/532281/,2.0,254.0,29.6,23.3,15.694617451413517,14.545882358679417,22.212934647485973,1.2131357359380264,63.024624648919705,8
660,LICI,2024,4.84,3.87,49.45,0.0,371.94,0.16,853.0,25269.0,66.0,154.0,15.0,0.0,26122.0,354.0,183583.67,205478.22,30.67,8.1,12.21,3.77,833,845966.0,813188.0,32779.0,4.0,14829.0,128.0,466.0,47014.0,13.0,40916.0,66.0,15.0,767.0,26122.0,-25269.0,-4427.0,-3574.0,994,6325.0,91312.0,10.0,5621474.0,5719121.0,4197.0,0.0,5413779.0,301145.0,5719121.0,59,Financials,Life Insurance,2.18,Large Cap,LICI,https://mkt.in/static/mkt-icons/nifty100/LICI.png,Life Insurance Corporation of India,https://in.tradingview.com/chart/?symbol=NSE%3ALICI,Life Insurance Corporation of India is an Indian multinational public sector life insurance company headquartered in Mumbai,https://www.licindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=LICI,https://www.bseindia.com/stock-share-price/life-insurance-corporation-of-india/lici/543526/,10.0,154.0,63.79,63.61,8.15986061977938,73.17556747076097,-25.18007521270632,0.6384299540522045,62.32867534157976,9
558,INFY,2024,17.08,23.7,29.79,0.09,87.52,1.13,20117.0,5093.0,63.0,218.0,,8359.0,25210.0,294.0,1112279.92,1372029.68,35.99,8.97,36.7,4.1,721,153670.0,117245.0,36425.0,24.0,4711.0,470.0,4678.0,35988.0,27.0,26248.0,63.0,,668.0,25210.0,-5093.0,-17504.0,2613.0,794,2072.0,88391.0,8804.0,42603.0,141870.0,31917.0,505.0,17394.0,92054.0,141870.0,49,Information Technology,IT Services,3.37,Large Cap,INFY,https://images.5paisa.com/MarketIcons/INFY.png,Infosys Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINFY,"Infosys Ltd provides consulting, technology, outsourcing and next-generation digital services to enable clients to execute strategies for their digital transformation",http://www.infosys.com/,https://www.nseindia.com/get-quotes/equity?symbol=INFY,https://www.bseindia.com/stock-share-price/infosys-ltd/INFY/500209/,5.0,218.0,40.0,31.8,12.925778520018305,9.754152854304344,14.697791723983645,0.9604541298384639,61.79565044877409,10
739,NAUKRI,2019,51.43,0.78,23.28,0.0,106.57,0.36,217.0,59.0,49.0,3225.0,12.0,1.0,276.0,391.0,241741.48,242045.98,24.1,14.39,17.67,0.21,919,1151.0,1142.0,9.0,1.0,737.0,7.0,22.0,716.0,17.0,592.0,49.0,12.0,852.0,276.0,-59.0,-78.0,138.0,903,122.0,2421.0,1.0,646.0,3189.0,88.0,2.0,1204.0,1895.0,3189.0,66,Communication Services,Internet & Platforms,4.44,Large Cap,NAUKRI,https://assets-netstorage.groww.in/stock-assets/logos2/InfoEdgIndia_32670259917_18844.png,Info Edge (India) Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ANAUKRI,"Info Edge is India's premier online classified company with a portfolio of brands. It owns various brands in different fields like naukri.com (online recruitment), 99acres.com (online real estate), jeevansathi.com (online matrimonial) as well as shiksha.com (online education information services). It also acts as an investor and has invested in many start-ups in the online space and is actively growing its investment portfolio.",http://www.infoedge.in/,https://www.nseindia.com/get-quotes/equity?symbol=NAUKRI,https://www.bseindia.com/stock-share-price/info-edge-india-ltd/NAUKRI/532777/,10.0,3225.0,3.65,2.44,16.515171117605696,20.571804647248214,,0.46621621621621623,61.23693227381668,11
602,ITC,2022,25.56,34.01,24.82,0.0,375.55,0.79,13538.0,2238.0,12.0,60.0,93.0,249.0,15776.0,316.0,390285.11,436594.31,33.63,11.99,27.18,3.1,769,60645.0,40021.0,20623.0,34.0,1910.0,60.0,1732.0,20740.0,25.0,15503.0,12.0,93.0,709.0,15776.0,-2238.0,-13580.0,-43.0,841,1232.0,61223.0,249.0,14491.0,77196.0,24232.0,3226.0,24841.0,24898.0,77196.0,53,Consumer Staples,Diversified FMCG,1.39,Large Cap,ITC,https://mkt.in/static/mkt-icons/nifty100/ITC.png,ITC Ltd,https://in.tradingview.com/chart/?symbol=ITC,"ITC Limited is an Indian conglomerate, headquartered in Kolkata. It has a presence across six business segments, namely FMCG, hotels, agribusiness, information technology, paper products, and packaging.",https://www.itcportal.com/,https://www.nseindia.com/get-quotes/equity?symbol=ITC,https://www.bseindia.com/stock-share-price/itc-ltd/itc/500875/,1.0,60.0,34.76,29.47,7.612806258058069,9.425931069584559,15.431774102380391,1.017609494936464,61.19200012457308,12
98,ASIANPAINT,2020,13.73,20.57,27.38,0.11,44.24,1.25,2520.0,518.0,28.0,188.0,43.0,1118.0,3038.0,50.0,1148763.92,1230363.26,13.27,6.46,22.97,0.29,192,20211.0,16054.0,4157.0,21.0,355.0,102.0,780.0,3629.0,24.0,2774.0,28.0,43.0,170.0,3038.0,-518.0,-2871.0,-351.0,273,96.0,10034.0,1118.0,4889.0,16138.0,6272.0,140.0,2019.0,7707.0,16138.0,9,Materials,Paints & Coatings,1.13,Large Cap,ASIANPAINT,https://mkt.in/static/mkt-icons/nifty100/ASIANPAINT.png,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://in.tradingview.com/chart/?symbol=NSE%3AASIANPAINT,"Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1.0,188.0,41.75,31.45,11.705320941335007,15.308162187698926,15.56823256217168,1.0951694304253785,61.08063522576119,13
